Code,Description,Type,TypeLabel
15,"finance and administration vice-president - trade, broadcasting and other services ",19,All examples
15,finance vice-president - food wholesaling ,19,All examples
15,"finance vice-president - trade, broadcasting and other services ",19,All examples
15,funeral services general manager ,19,All examples
15,"general manager, cleaning service ",19,All examples
15,"general manager, sales - trade, broadcasting and other services ",19,All examples
15,hotel general manager ,19,All examples
15,"human resources and organizational development vice-president - trade, broadcasting and other services ",19,All examples
15,"human resources vice-president - trade, broadcasting and other services ",19,All examples
15,"information systems vice president - trade, broadcasting and other services ",19,All examples
15,laundry and dry cleaning general manager ,19,All examples
15,marketing vice-president - grocery store chain ,19,All examples
15,"marketing vice-president - trade, broadcasting and other services ",19,All examples
15,"operations manager - trade, broadcasting and other services ",19,All examples
15,operations vice-president - radio broadcasting services ,19,All examples
15,"operations vice-president - trade, broadcasting and other services ",19,All examples
15,"personnel vice-president - trade, broadcasting and other services ",19,All examples
15,"planning vice-president - trade, broadcasting and other services ",19,All examples
15,"president - trade, broadcasting and other services ",19,All examples
15,"president and director - trade, broadcasting and other services ",19,All examples
15,"president and general manager - trade, broadcasting and other services ",19,All examples
15,"president, department store ",19,All examples
15,radio station general manager ,19,All examples
15,"regional vice-president - trade, broadcasting and other services ",19,All examples
15,"regional vice-president, hotel chain ",19,All examples
15,retail establishment president ,19,All examples
15,"sales and advertising vice-president - trade, broadcasting and other services ",19,All examples
15,"sales general manager - trade, broadcasting and other services ",19,All examples
15,"sales vice-president - trade, broadcasting and other services ",19,All examples
15,"support services vice-president - trade, broadcasting and other services ",19,All examples
15,"vice-president - trade, broadcasting and other services ",19,All examples
15,"vice-president and general sales manager - trade, broadcasting and other services ",19,All examples
15,"vice-president, engineering - television broadcasting services ",19,All examples
15,"vice-president, finance - food wholesaling ",19,All examples
15,"vice-president, information systems - trade, broadcasting and other services ",19,All examples
15,"vice-president, marketing - grocery store chain ",19,All examples
15,"vice-president, operations - radio broadcasting services ",19,All examples
15,wholesaler - broadcasting ,19,All examples
15,Related middle managers are classified in the following unit and minor groups: ,50,Exclusion(s)
15,"  Managers in art, culture, recreation and sport (051)",50,Exclusion(s)
15,"  Managers in customer and personal services, n.e.c. (0651)",50,Exclusion(s)
15,  Managers in food service and accommodation (063),50,Exclusion(s)
15,  Retail and wholesale trade managers (062),50,Exclusion(s)
15,Senior managers in this unit group perform some or all of the following duties: ,60,Main duties
15,Establish objectives for the company and formulate or approve policies and programs ,60,Main duties
15,Authorize and organize the establishment of major departments and associated senior staff positions ,60,Main duties
15,"Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning ",60,Main duties
15,"Select middle managers, directors or other executive staff ",60,Main duties
15,"Co-ordinate the work of regions, divisions or departments ",60,Main duties
15,"Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions. ",60,Main duties
15,"Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in the sale of a particular product or provision of a particular service. ",60,Main duties
15, ,60,Main duties
15, ,60,Main duties
15, ,60,Main duties
15, ,60,Main duties
15, ,60,Main duties
15, ,60,Main duties
15, ,60,Main duties
15, ,60,Main duties
15,"A university degree or college diploma in business administration, finance or other discipline related to the service provided is usually required. ",70,Employment requirements
15,"Several years of experience as a middle manager in trade, broadcasting or other service are usually required. ",70,Employment requirements
15,Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience. ,70,Employment requirements
