NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
9431,Sawmill machine operators; Other wood processing machine operators; Lumber graders and other wood processing inspectors and graders & Woodworking machine operators,22500,22900,23400,23700,24000,24200,24400,24600,24800,25000,25100
9432,Pulp mill machine operators; Papermaking and finishing machine operators& Paper converting machine operators,18400,18100,18100,18100,18000,17900,17700,17600,17400,17200,17000
9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers; Weavers, knitters and other fabric making occupations; Fabric, fur and leather cutters & Inspectors and graders, textile, fabric, fur and leather products manufacturing",11700,11600,11700,11700,11700,11700,11700,11700,11600,11600,11600
9446,Industrial sewing machine operators,16400,15400,14800,14600,14500,14400,14400,14400,14500,14600,14700
9461,"Process control and machine operators, food, beverage and related products processing; Fish and seafood plant workers & Testers and graders, food, beverage and related products processing",57500,57900,57700,57700,57900,58000,58000,58200,58400,58700,59000
9462,"Industrial butchers and meat cutters, poultry preparers and related workers",19600,19700,20000,20200,20400,20500,20600,20800,20800,20900,21000
9470,Printing equipment operators and related occupations,18300,18000,17700,17500,17400,17300,17200,17100,17000,17000,17000
9521,"Aircraft assemblers and aircraft assembly inspectors; Motor vehicle assemblers, inspectors and testers & Mechanical assemblers and inspectors",53200,54000,54600,54400,54900,55300,55600,55900,56200,56500,56700
9523,"Electronics assemblers, fabricators, inspectors and testers",22200,21900,22200,22300,22400,22400,22300,22300,22200,22200,22100
9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing & Assemblers, fabricators and inspectors, industrial electrical motors and transformers",19200,19100,19400,19600,19800,19800,19900,19900,19900,19900,19900
9531,"Boat assemblers and inspectors; Plastic products assemblers, finishers and inspectors; Industrial painters, coaters and metal finishing process operators& Other products assemblers, finishers and inspectors",60200,60600,61500,62200,62700,63100,63400,63700,63900,64100,64400
9532,Furniture and fixture assemblers and inspectors;  Other wood products assemblers and inspectors & Furniture finishers and refinishers,38600,38800,39300,39800,40100,40300,40500,40700,40900,41000,41200
9611,Labourers in mineral and metal processing & Labourers in metal fabrication,28300,28500,29000,29300,29600,29900,30100,30300,30500,30600,30800
9613,Labourers in chemical products processing and utilities & Labourers in rubber and plastic products manufacturing,14600,14700,15000,15200,15300,15400,15500,15500,15600,15600,15700
9614,"Labourers in wood, pulp and paper processing",19800,20000,20500,20800,21000,21200,21200,21300,21400,21500,21500
9616,"Labourers in textile processing & Other labourers in processing, manufacturing and utilities",40900,40800,40900,41000,41000,41000,41000,40900,40900,40900,40800
9617,"Labourers in food, beverage and related products processing & Labourers in fish and seafood processing",48700,49000,48800,48800,49000,49000,49100,49300,49500,49800,50100
