NocCode,Occupation,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024
6611,Cashiers,2900,3000,3100,3200,3300,3400,3600,3600,3700,3700,3700
6621,Service station attendants,200,200,200,200,200,200,200,200,200,200,200
6622,"Store shelf stockers, clerks and order fillers",2700,2700,2800,2900,2900,2900,2900,2900,3000,3000,3000
6623,Other sales related occupations,500,500,500,500,500,500,500,400,400,400,400
6711,"Food counter attendants, kitchen helpers and related support occupations",2400,2500,2600,2800,2900,3100,3200,3300,3400,3500,3600
6720,"Support occupations in accommodation, travel and amusement services",600,600,600,600,600,600,600,600,600,600,600
6731,Light duty cleaners,4900,5000,5200,5400,5600,5800,6000,6100,6200,6200,6300
6732,Specialized cleaners,900,900,1000,1000,1000,1100,1100,1100,1200,1200,1200
6733,"Janitors, caretakers and building superintendents",4500,4500,4500,4700,4800,5000,5100,5200,5200,5200,5300
6740,"Other service support and related occupations, n.e.c.",1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",400,400,400,400,400,500,500,500,500,500,500
7202,"Contractors and supervisors, electrical trades and telecommunications occupations",600,600,600,600,600,700,700,700,700,700,700
7203,"Contractors and supervisors, pipefitting trades",200,200,200,200,200,200,200,200,200,200,300
7204,"Contractors and supervisors, carpentry trades",500,500,500,600,600,600,600,700,700,700,700
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",1400,1400,1500,1500,1700,1700,1800,1800,1900,1900,1900
7231,Machinists and machining and tooling inspectors & Tool and die makers,800,800,900,1000,1100,1100,1200,1300,1300,1300,1300
7233,Sheet metal workers; Boilermakers; Structural metal and platework fabricators and fitters & Ironworkers,400,400,500,500,600,600,600,700,700,700,700
7237,Welders and related machine operators,1000,1000,1100,1200,1300,1400,1400,1500,1600,1700,1700
7241,Electricians (except industrial and power system),1800,1900,1900,2000,2000,2000,2000,2000,2100,2100,2100
7242,Industrial electricians & Power system electricians,600,700,700,700,700,700,700,700,700,700,700
7244,Electrical power line and cable workers & Telecommunications line and cable workers,400,500,500,500,500,500,500,500,500,500,500
7246,Telecommunications installation and repair workers & Cable television service and maintenance technician,600,600,600,600,600,600,600,600,600,600,600
7251,Plumbers,500,600,600,500,600,600,600,600,700,700,700
7252,"Steamfitters, pipefitters and sprinkler system installers & Gas fitters",400,400,400,400,400,400,500,500,500,500,500
7271,Carpenters,1900,1900,2100,2200,2200,2300,2300,2400,2400,2400,2400
7272,Cabinetmakers,200,200,200,200,200,200,200,200,200,200,200
7281,Bricklayers,100,100,100,200,200,200,200,200,200,200,200
7282,Concrete finishers & Tilesetters,200,200,200,200,300,300,300,300,300,400,400
7284,"Plasterers, drywall installers and finishers and lathers",300,300,300,300,400,400,400,400,500,500,500
7291,Roofers and shinglers,200,300,300,300,300,300,300,400,400,400,400
7292,Glaziers & Insulators,200,300,300,300,300,300,300,300,300,400,400
7294,Painters and decorators (except interior decorators),500,600,600,600,700,700,700,700,800,800,800
7295,Floor covering installers,200,200,200,200,200,200,200,200,200,200,200
7301,"Contractors and supervisors, mechanic trades & Supervisors, printing and related occupations",1400,1400,1500,1500,1600,1700,1700,1800,1800,1800,1800
7302,"Contractors and supervisors, heavy equipment operator crews",900,900,900,900,1000,1000,1100,1100,1100,1100,1200
7304,"Supervisors, railway transport operations & Supervisors, motor transport and other ground transit operators",1100,1100,1100,1100,1100,1100,1100,1100,1200,1200,1200
7311,Construction millwrights and industrial mechanics,2000,2000,2000,2000,2000,2100,2100,2100,2000,2000,2000
7312,Heavy-duty equipment mechanics,1400,1400,1500,1500,1600,1600,1600,1600,1600,1600,1600
7313,Refrigeration and air conditioning mechanics; machine fitters & Elevator constructors and mechanics,800,800,900,900,900,900,900,900,900,900,900
7314,Railway carmen/women & Aircraft mechanics and aircraft inspectors,300,300,400,400,400,400,400,400,400,400,400
7321,"Automotive service technician, truck and bus mechanics and mechanical repairers",1900,1900,2000,2100,2200,2200,2300,2400,2400,2500,2500
7322,Motor vehicle body repairers,400,400,500,500,500,500,500,500,500,600,600
7330,Other mechanics and related repairers,700,700,700,700,700,700,800,800,800,800,800
7360,Train crew operating occupations,100,100,200,200,200,200,300,300,300,300,300
7370,"Crane operators, drillers and blasters",300,300,300,400,400,400,500,500,500,500,500
7380,"Printing press operators and other trades and related occupations, n.e",500,600,600,600,700,700,700,800,800,800,800
7441,Residential and commercial installers and servicers,600,600,600,600,700,700,800,800,800,800,800
7442,"Waterworks and gas maintenance workers; Pest controllers and fumigators & Other installers, repairers and servicers",300,300,300,400,400,400,400,400,400,400,400
7450,Longshore workers and material handlers,2700,2800,3000,3300,3500,3600,3700,3800,4000,4000,4100
7511,Transport truck drivers,7300,7400,7600,7800,7900,8100,8400,8600,8700,8800,8900
7512,"Bus drivers, subway operators and other transit operators",2100,2200,2200,2300,2300,2400,2400,2500,2500,2500,2600
7513,Taxi and limousine drivers and chauffeurs,1000,1100,1100,1100,1200,1200,1200,1200,1300,1300,1300
7514,Delivery and courier service drivers,1500,1400,1500,1500,1500,1500,1500,1500,1600,1600,1600
7521,Heavy equipment operators(except crane),1400,1400,1500,1600,1700,1700,1800,1800,1900,1900,1900
