Title,NOC4,Statistics,Average
Retail and wholesale trade managers [0621] ,621,Average offered hourly wage (dollars) (5),20.45
"Recreation, sports and fitness policy researchers, consultants and program officers [4167] ",4167,Average offered hourly wage (dollars) (5),20.475
Glaziers [7292] ,7292,Average offered hourly wage (dollars) (5),20.4875
"Managers in customer and personal services, not elsewhere classified (n.e.c.) [0651] ",651,Average offered hourly wage (dollars) (5),20.5125
"Translators, terminologists and interpreters [5125] ",5125,Average offered hourly wage (dollars) (5),20.6
User support technicians [2282] ,2282,Average offered hourly wage (dollars) (5),20.625
Legal administrative assistants [1242] ,1242,Average offered hourly wage (dollars) (5),20.6375
Library and public archive technicians [5211] ,5211,Average offered hourly wage (dollars) (5),20.6625
Journalists [5123] ,5123,Average offered hourly wage (dollars) (5),20.775
"Contractors and supervisors, landscaping, grounds maintenance and horticulture services [8255] ",8255,Average offered hourly wage (dollars) (5),20.8375
Transport truck drivers [7511] ,7511,Average offered hourly wage (dollars) (5),20.8375
Ironworkers [7236] ,7236,Average offered hourly wage (dollars) (5),20.875
"Motorcycle, all-terrain vehicle and other related mechanics [7334] ",7334,Average offered hourly wage (dollars) (5),20.8875
Home building and renovation managers [0712] ,712,Average offered hourly wage (dollars) (5),20.95
Funeral directors and embalmers [6346] ,6346,Average offered hourly wage (dollars) (5),21
Desktop publishing operators and related occupations [1423] ,1423,Average offered hourly wage (dollars) (5),21.025
Managers in agriculture [0821] ,821,Average offered hourly wage (dollars) (5),21.025
Motor vehicle body repairers [7322] ,7322,Average offered hourly wage (dollars) (5),21.0375
Managers in horticulture [0822] ,822,Average offered hourly wage (dollars) (5),21.05
Forestry technologists and technicians [2223] ,2223,Average offered hourly wage (dollars) (5),21.08333333
Post-secondary teaching and research assistants [4012] ,4012,Average offered hourly wage (dollars) (5),21.1375
Instructors of persons with disabilities [4215] ,4215,Average offered hourly wage (dollars) (5),21.3625
"Professional occupations in advertising, marketing and public relations [1123] ",1123,Average offered hourly wage (dollars) (5),21.4
Drafting technologists and technicians [2253] ,2253,Average offered hourly wage (dollars) (5),21.4125
"Correspondence, publication and regulatory clerks [1452] ",1452,Average offered hourly wage (dollars) (5),21.45
"Supervisors, mail and message distribution occupations [1214] ",1214,Average offered hourly wage (dollars) (5),21.5
Land survey technologists and technicians [2254] ,2254,Average offered hourly wage (dollars) (5),21.625
"Automotive service technicians, truck and bus mechanics and mechanical repairers [7321] ",7321,Average offered hourly wage (dollars) (5),21.6625
Administrative officers [1221] ,1221,Average offered hourly wage (dollars) (5),21.7125
Electrical mechanics [7333] ,7333,Average offered hourly wage (dollars) (5),21.725
Transportation route and crew schedulers [1526] ,1526,Average offered hourly wage (dollars) (5),21.75
Welders and related machine operators [7237] ,7237,Average offered hourly wage (dollars) (5),21.7625
Aircraft mechanics and aircraft inspectors [7315] ,7315,Average offered hourly wage (dollars) (5),21.775
Pulp mill machine operators [9432] ,9432,Average offered hourly wage (dollars) (5),21.8
Medical laboratory technicians and pathologists' assistants [3212] ,3212,Average offered hourly wage (dollars) (5),21.8125
Insurance agents and brokers [6231] ,6231,Average offered hourly wage (dollars) (5),21.825
Employment counsellors [4156] ,4156,Average offered hourly wage (dollars) (5),21.825
Human resources and recruitment officers [1223] ,1223,Average offered hourly wage (dollars) (5),21.8375
Cleaning supervisors [6315] ,6315,Average offered hourly wage (dollars) (5),21.875
Chemical technologists and technicians [2211] ,2211,Average offered hourly wage (dollars) (5),21.95
Conservators and curators [5112] ,5112,Average offered hourly wage (dollars) (5),22
Dancers [5134] ,5134,Average offered hourly wage (dollars) (5),22.0875
Roofers and shinglers [7291] ,7291,Average offered hourly wage (dollars) (5),22.2625
Film and video camera operators [5222] ,5222,Average offered hourly wage (dollars) (5),22.28333333
Financial sales representatives [6235] ,6235,Average offered hourly wage (dollars) (5),22.3375
Production logistics co-ordinators [1523] ,1523,Average offered hourly wage (dollars) (5),22.38333333
Audio and video recording technicians [5225] ,5225,Average offered hourly wage (dollars) (5),22.3875
Carpenters [7271] ,7271,Average offered hourly wage (dollars) (5),22.3875
Air traffic controllers and related occupations [2272] ,2272,Average offered hourly wage (dollars) (5),22.4
"Court reporters, medical transcriptionists and related occupations [1251] ",1251,Average offered hourly wage (dollars) (5),22.43333333
"Other trades and related occupations, not elsewhere classified (n.e.c.) [7384] ",7384,Average offered hourly wage (dollars) (5),22.45
"Supervisors, furniture and fixtures manufacturing [9224] ",9224,Average offered hourly wage (dollars) (5),22.4875
"Oil and gas drilling, servicing and related labourers [8615] ",8615,Average offered hourly wage (dollars) (5),22.53333333
Tool and die makers [7232] ,7232,Average offered hourly wage (dollars) (5),22.5625
Structural metal and platework fabricators and fitters [7235] ,7235,Average offered hourly wage (dollars) (5),22.825
Chain saw and skidder operators [8421] ,8421,Average offered hourly wage (dollars) (5),22.875
Records management technicians [1253] ,1253,Average offered hourly wage (dollars) (5),22.8875
Waterworks and gas maintenance workers [7442] ,7442,Average offered hourly wage (dollars) (5),22.9
"Supervisors, supply chain, tracking and scheduling co-ordination occupations [1215] ",1215,Average offered hourly wage (dollars) (5),22.9125
"Supervisors, electronics manufacturing [9222] ",9222,Average offered hourly wage (dollars) (5),22.95
Statistical officers and related research support occupations [1254] ,1254,Average offered hourly wage (dollars) (5),23.05
Editors [5122] ,5122,Average offered hourly wage (dollars) (5),23.0875
Industrial designers [2252] ,2252,Average offered hourly wage (dollars) (5),23.15
Mine labourers [8614] ,8614,Average offered hourly wage (dollars) (5),23.18333333
"Drillers and blasters - surface mining, quarrying and construction [7372] ",7372,Average offered hourly wage (dollars) (5),23.25
Oil and gas well drilling and related workers and services operators [8412] ,8412,Average offered hourly wage (dollars) (5),23.45
Customer and information services supervisors [6314] ,6314,Average offered hourly wage (dollars) (5),23.45
Water and waste treatment plant operators [9243] ,9243,Average offered hourly wage (dollars) (5),23.525
Payroll administrators [1432] ,1432,Average offered hourly wage (dollars) (5),23.575
Heavy equipment operators (except crane) [7521] ,7521,Average offered hourly wage (dollars) (5),23.6625
